Player,birthDate,Age
Joey Estes,2001-10-08,23.53
Lazaro Estrada,1999-04-24,25.99
Logan Evans,2001-06-05,23.87
Jud Fabian,2000-09-27,24.56
Buck Farmer,1991-02-20,34.16
Hunter Feduccia,1997-06-05,27.87
Drake Fellows,1998-03-06,27.12
Jose Fermin,1999-03-29,26.06
Julian Fernandez,1995-12-05,29.37
Junior Fernandez,1997-03-02,28.13
Yanquiel Fernandez,2003-01-01,22.3
David Festa,2000-03-08,25.12
Matt Festa,1993-03-11,32.11
J.P. Feyereisen,1993-02-07,32.2
Braydon Fisher,2000-07-26,24.73
Ryan Fitzgerald,1994-06-17,30.84
Josh Fleming,1996-05-18,28.92
Dominic Fletcher,1997-09-02,27.63
Chris Flexen,1994-07-01,30.8
Dylan Floro,1990-12-27,34.31
J.C. Flowers,1998-05-19,26.92
Michael Flynn,1996-08-07,28.7
Jason Foley,1995-11-01,29.47
Harry Ford,2003-02-21,22.16
Mike Ford,1992-07-04,32.79
Justin Foscue,1999-03-02,26.14
Christian Franklin,1999-11-30,25.39
Nick Frasso,1998-10-18,26.51
Alex Freeland,2001-08-24,23.66
Caleb Freeman,1998-02-23,27.15
Cody Freeman,2001-01-05,24.29
Dayan Frias,2002-06-25,22.82
Luis Frias,1998-05-23,26.91
Shintaro Fujinami,1994-04-12,31.02
Braxton Fulford,1998-12-09,26.36
Carson Fulmer,1993-12-13,31.35
Michael Fulmer,1993-03-15,32.1
Kody Funderburk,1996-11-27,28.39
Matt Gage,1993-02-11,32.19
Alec Gamboa,1997-01-17,28.25
Ben Gamel,1992-05-17,32.93
Gerson Garabito,1995-08-19,29.67
Aramis Garcia,1993-01-12,32.27
Deivi Garcia,1999-05-19,25.92
Rico Garcia,1994-01-10,31.27
Stone Garrett,1995-11-22,29.41
Justin Garza,1994-03-20,31.09
Mickey Gasper,1995-10-11,29.52
Austin Gauthier,1999-05-07,25.95
Jordan Geber,1999-07-31,25.72
Tyler Gentry,1999-02-01,26.21
Joey Gerber,1997-05-03,27.96
Paul Gervase,2000-05-23,24.91
Cade Gibson,1998-02-18,27.17
Kyle Gibson,1987-10-23,37.49
Drew Gilbert,2000-09-27,24.56
Tyler Gilbert,1993-12-22,31.33
Lucas Gilbreath,1996-03-05,29.13
Logan Gillaspie,1997-04-17,28.01
J.T. Ginn,1999-05-20,25.92
Lucas Giolito,1994-07-14,30.77
Austin Gomber,1993-11-23,31.41
Michael Gomez,1996-08-15,28.68
Tony Gonsolin,1994-05-14,30.93
Domingo Gonzalez,1999-09-27,25.56
Luis Gonzalez,1992-01-17,33.26
Oscar Gonzalez,1998-01-10,27.27
Victor Gonzalez,1995-11-16,29.43
Niko Goodrum,1992-02-28,33.14
Colton Gordon,1998-12-20,26.33
Nick Gordon,1995-10-24,29.49
Tanner Gordon,1997-10-26,27.48
Matt Gorski,1997-12-22,27.33
Anthony Gose,1990-08-10,34.69
Kevin Gowdy,1997-11-16,27.43
Gordon Graceffo,2000-03-17,25.09
Kevin Graham,1999-08-12,25.69
Conor Grammes,1997-07-13,27.77
Yasmani Grandal,1988-11-08,36.45
Andre Granillo,2000-05-12,24.94
Tristan Gray,1996-03-22,29.08
Vaughn Grissom,2001-01-05,24.29
Jordan Groshans,1999-11-10,25.44
Sean Guenther,1995-12-29,29.31
Luis Guerrero,2000-08-05,24.71
Tyson Guerrero,1999-02-16,26.17
Luis Guillorme,1994-09-27,30.56
Abrahan Gutierrez,1999-10-31,25.47
Carlos Guzman,1998-05-16,26.93
Justin Hagenman,1996-10-07,28.53
Sam Haggerty,1994-05-26,30.9
Jesse Hahn,1989-07-30,35.72
Adam Hall,1999-05-22,25.91
Darick Hall,1995-07-25,29.74
Petey Halpin,2002-05-26,22.9
Dom Hamel,1999-03-02,26.14
Ian Hamilton,1995-06-16,29.85
Quincy Hamilton,1998-06-12,26.86
Emerson Hancock,1999-05-31,25.89
Maverick Handley,1998-03-10,27.11
Bradley Hanner,1999-02-10,26.19
Houston Harding,1998-05-22,26.91
Brendan Hardy,1999-12-15,25.35
Thomas Harrington,2001-07-12,23.77
Ben Harris,2000-02-22,25.16
Brett Harris,1998-06-24,26.82
Dustin Harris,1999-07-08,25.79
Hogan Harris,1996-12-26,28.31
Hobie Harris,1993-06-23,31.82
Kyle Harrison,2001-08-12,23.69
Geoff Hartlieb,1993-12-09,31.36
Grant Hartwig,1997-12-18,27.34
Robert Hassell III,2001-08-15,23.68
Thomas Hatch,1994-09-29,30.56
Trevor Hauver,1998-11-20,26.41
Austin Hays,1995-07-05,29.79
Brent Headrick,1997-12-17,27.34
Dylan Heid,1998-05-18,26.92
Michael Helman,1996-05-23,28.91
Clay Helvey,1997-02-14,28.18
Gunnar Henderson,2001-06-29,23.81
Logan Henderson,2002-03-02,23.13
Liam Hendriks,1989-02-10,36.19
Ryan Hendrix,1994-12-16,30.34
Cole Henry,1999-07-15,25.77
Payton Henry,1997-06-24,27.82
Tommy Henry,1997-07-29,27.73
David Hensley,1996-03-28,29.06
Kevin Herget,1991-04-03,34.05
Darell Hernaiz,2001-08-03,23.71
Heriberto Hernandez,1999-12-16,25.34
Jonathan Hernandez,1996-07-06,28.79
Jose E. Hernandez,1997-12-31,27.3
Nick Hernandez,1994-12-30,30.31
Ronaldo Hernandez,1997-11-11,27.44
Wilkel Hernandez,1999-04-13,26.02
Jimmy Herron,1996-07-27,28.73
Codi Heuer,1996-07-03,28.8
Nathan Hickey,1999-11-23,25.41
Brewer Hicklen,1996-02-09,29.19
Mason Hickman,1998-12-23,26.32
Jake Higginbotham,1996-01-11,29.27
P.J. Higgins,1993-05-10,31.95
Darius Hill,1997-08-17,27.67
Jaden Hill,1999-12-22,25.33
Sam Hilliard,1994-02-21,31.16
Rece Hinds,2000-09-05,24.62
Keston Hiura,1996-08-02,28.71
Sean Hjelle,1997-05-07,27.95
Kody Hoese,1997-07-13,27.77
Nolan Hoffman,1997-08-09,27.7
Andrew Hoffmann,2000-02-02,25.21
Gunnar Hoglund,1999-12-17,25.34
Colin Holderman,1995-10-08,29.53
Korey Holland,2000-01-01,25.3
Gavin Hollowell,1997-11-04,27.46
Grant Holman,2000-05-31,24.89
Blake Holub,1998-10-23,26.49
Bailey Horn,1998-01-15,27.26
Cade Horton,2001-08-20,23.67
Bennett Hostetler,1997-09-23,27.57
Brady House,2003-06-04,21.88
Adrian Houser,1993-02-02,32.21
Dakota Hudson,1994-09-15,30.6
Joe Hudson,1991-05-21,33.92
Kody Huff,2000-12-11,24.36
Brandon Hughes,1995-12-01,29.39
Cooper Hummel,1994-11-28,30.39
Zach Humphreys,1997-10-09,27.53
Sean Hunley,1999-07-05,25.79
Blake Hunt,1998-11-10,26.44
Jacob Hurtubise,1997-12-11,27.36
Kolton Ingram,1996-10-21,28.5
Jairo Iriarte,2001-12-15,23.35
Tyler Ivey,1996-05-12,28.94
Alex Jackson,1995-12-25,29.32
Zach Jacobs,2001-09-09,23.61
Joe Jacques,1995-03-11,30.11
Drey Jameson,1997-08-17,27.67
Travis Jankowski,1991-06-15,33.85
Bryce Jarvis,1997-12-26,27.32
Justin Jarvis,2000-02-20,25.16
Mike Jarvis,1998-05-12,26.94
Tyler Jay,1994-04-19,31.0
Ryan Jensen,1997-11-23,27.41
Antonio Jimenez,2001-05-06,23.96
Eloy Jimenez,1996-11-27,28.39
Connor Joe,1992-08-16,32.68
Bryce Johnson,1995-10-27,29.48
Seth Johnson,1998-09-19,26.58
Ivan Johnson,1998-10-11,26.52
Troy Johnston,1997-06-22,27.83
Brock Jones,2001-03-28,24.06
Greg Jones,1998-03-07,27.12
Jahmai Jones,1997-08-04,27.71
Levi Jordan,1995-09-24,29.57
Rowdey Jordan,1999-01-27,26.23
Hayden Juenger,2000-08-09,24.7
Corey Julks,1996-02-27,29.14
Jace Jung,2000-10-04,24.54
Janson Junk,1996-01-15,29.26
Evan Justice,1998-07-07,26.79
Connor Kaiser,1996-11-20,28.41
James Karinchak,1995-09-22,29.58
Karl Kauffmann,1997-08-15,27.68
Niko Kavadas,1998-10-27,26.48
Luke Keaschall,2002-08-15,22.68
Antoine Kelly,1999-12-05,25.37
Casey Kelly,1989-10-04,35.54
Otto Kemp,1999-09-09,25.61
Buddy Kennedy,1998-10-05,26.54
Zak Kent,1998-02-24,27.15
Brett Kerry,1999-04-12,26.02
Clayton Kershaw,1988-03-19,37.09
Grae Kessinger,1997-08-25,27.65
Carter Kieboom,1997-09-03,27.63
Caleb Kilian,1997-06-02,27.88
Hyeseong Kim,1999-01-27,26.23
Justin King,1997-12-19,27.33
Scott Kingery,1994-04-29,30.98
Austin Kitchen,1997-02-11,28.19
Will Klein,1999-11-28,25.39
Landon Knack,1997-07-15,27.76
Reiss Knehr,1996-11-03,28.46
Caleb Knight,1996-01-02,29.3
Andrew Knizner,1995-02-03,30.21
Stephen Kolek,1997-04-18,28.01
Jared Kollar,1998-07-24,26.74
Mark Kolozsvary,1995-09-04,29.63
Matt Koperniak,1998-02-08,27.2
Kevin Kopps,1997-03-02,28.13
Rhett Kouba,1999-09-03,25.63
Nick Krauth,1999-09-06,25.62
Evan Kravetz,1996-12-19,28.33
Joey Krehbiel,1992-12-20,32.33
Brooks Kriske,1994-02-03,31.21
Austin Krob,1999-09-20,25.58
Matt Krook,1994-10-21,30.5
Matt Kroon,1996-12-05,28.37
Chad Kuhl,1992-09-10,32.61
Joel Kuhnel,1995-02-19,30.17
Nick Kurtz,2003-03-12,22.11
Randy Labaut,1996-10-01,28.55
Jake Lamb,1990-10-09,34.53
Rafael Lantigua,1998-04-28,26.98
Sauryn Lao,1999-08-14,25.68
Andry Lara,2003-01-06,22.29
Joe La Sorsa,1998-04-29,26.98
Jacob Latz,1996-04-08,29.03
Eric Lauer,1995-06-03,29.88
Jordan Lawlar,2002-07-17,22.76
Casey Lawrence,1987-10-28,37.48
Max Lazar,1999-06-03,25.88
Erick Leal,1995-03-17,30.09
Charles Leblanc,1996-06-03,28.88
Brooks Lee,2001-02-14,24.18
Chase Lee,1998-08-13,26.69
Hao-Yu  Lee,2003-02-03,22.21
Jack Leftwich,1998-09-26,26.57
Casey Legumina,1997-06-19,27.84
Brandon Leibrandt,1992-12-13,32.35
David Leon,2004-02-02,21.21
Sandy Leon,1989-03-13,36.1
Eddys Leonard,2000-11-10,24.44
Cory Lewis,2000-10-09,24.53
Brady Lindsly,1998-03-03,27.13
Andre Lipcius,1998-05-22,26.91
Trey Lipscomb,2000-06-14,24.85
Jesus Liranzo,1995-03-07,30.12
Jack Little,1998-01-10,27.27
Luke Little,2000-08-30,24.64
Matt Lloyd,1996-03-17,29.09
Tim Locastro,1992-07-14,32.77
Lael Lockhart,1997-12-31,27.3
Tyler Locklear,2000-11-24,24.4
Nick Loftin,1998-09-25,26.57
Jonathon Long,2002-01-20,23.25
Joey Loperfido,1999-05-11,25.94
Jack Lopez,1992-12-16,32.34
Jacob Lopez,1998-03-11,27.11
Alejo Lopez,1996-05-05,28.96
Nicky Lopez,1995-03-13,30.11
Pablo Lopez,1996-03-07,29.12
Ryan Loutos,1999-01-29,26.22
Richard Lovelady,1995-07-07,29.79
Joey Lucchesi,1993-06-06,31.87
Marco Luciano,2001-09-10,23.61
Matthew Lugo,2001-05-09,23.95
Dixon Machado,1992-02-22,33.16
Vimael Machin,1993-09-25,31.57
Willie MacIver,1996-10-28,28.48
Bligh Madris,1996-02-29,29.14
Luke Maile,1991-02-06,34.2
Anthony Maldonado,1998-02-06,27.2
Justyn-Henry Malloy,2000-02-19,25.17
Trey Mancini,1992-03-18,33.09
Matt Manning,1998-01-28,27.23
Joe Mantiply,1991-03-01,34.14
Ron Marinaccio,1995-07-01,29.8
Michael Mariot,1988-10-20,36.5
Jake Marisnick,1991-03-30,34.06
Jakob Marsee,2001-06-28,23.81
Noelvi Marte,2001-10-16,23.51
Austin Martin,1999-03-23,26.08
Corbin Martin,1995-12-28,29.31
Riley Martin,1998-03-19,27.09
Angel Martinez,2002-01-27,23.23
Ernesto Martinez Jr.,1999-06-20,25.83
Orelvis Martinez,2001-11-19,23.42
Rodolfo Martinez,1994-04-04,31.04
Seth Martinez,1994-08-29,30.64
Bryan Mata,1999-05-03,25.97
Quinn Mathews,2000-10-04,24.54
Brice Matthews,2002-03-16,23.1
Zebby Matthews,2000-05-22,24.91
Isaac Mattson,1995-07-14,29.77
Tyler Matzek,1990-10-19,34.5
Zach Maxwell,2001-01-26,24.23
Marcelo Mayer,2002-12-12,22.35
Coby Mayo,2001-12-10,23.36
Adam Mazur,2001-04-20,24.0
James McCann,1990-06-13,34.85
Darren McCaughan,1996-03-18,29.09
Mason McCoy,1995-03-31,30.06
Grant McCray,2000-12-07,24.37
Lance McCullers Jr.,1993-10-02,31.55
Carson McCusker,1998-05-22,26.91
Trevor McDonald,2001-02-26,24.15
Tyler McDonough,1999-04-02,26.05
Easton McGee,1997-12-26,27.32
Scott McGough,1989-10-31,35.47
Trey McGough,1998-03-29,27.06
Michael McGreevy,2000-07-08,24.78
Reese McGuire,1995-03-02,30.14
Evan McKendry,1998-02-06,27.2
Billy McKinney,1994-08-23,30.66
John McMillon,1998-01-27,27.23
Sam McWilliams,1995-09-04,29.63
Nick Mears,1996-10-07,28.53
Wade Meckler,2000-04-21,25.0
Adonis Medina,1996-12-18,28.34
Chase Meidroth,2001-07-23,23.74
Juan Mejia,2000-07-04,24.79
MJ Melendez,1998-11-29,26.39
Jacob Melton,2000-09-07,24.62
Cristian Mena,2002-12-21,22.33
Antonio Menendez,1999-03-11,26.11
Joey Meneses,1992-05-06,32.96
Michael Mercado,1999-04-15,26.02
Oscar Mercado,1994-12-16,30.34
Juan Mercedes,2000-04-03,25.05
Parker Messick,2000-10-26,24.48
Zach Messinger,1999-10-04,25.54
Luis Mey,2001-06-24,23.82
Ryan Middendorf,1997-12-22,27.33
Nick Mikolajchak,1997-11-21,27.41
Bobby Milacki,1996-11-06,28.45
Drew Millas,1998-01-15,27.26
Owen Miller,1996-11-15,28.43
Bobby Miller,1999-04-05,26.04
Ryan Miller,1996-03-28,29.06
Tyson Miller,1995-07-29,29.73
Cody Milligan,1998-12-23,26.32
Wyatt Mills,1995-01-25,30.23
Jose Miranda,1998-06-29,26.81
Andrew Misiaszek,1997-08-24,27.66
Anthony Misiewicz,1994-11-01,30.47
Jacob Misiorowski,2002-04-03,23.05
Cal Mitchell,1999-03-08,26.12
Anthony Molina,2002-01-12,23.27
Andruw Monasterio,1997-05-30,27.89
Nate Mondou,1995-03-24,30.08
Keider Montero,2000-07-06,24.79
Coco Montes,1996-10-07,28.53
Christian Montes De Oca,1999-08-30,25.64
Patrick Monteverde,1997-09-24,27.57
Colson Montgomery,2002-02-27,23.14
McKinley Moore,1998-08-24,26.66
Jeferson Morales,1999-05-13,25.94
Brian Moran,1988-09-30,36.55
Luis Moreno,1999-05-29,25.89
Tre' Morgan,2002-07-16,22.76
Juan Morillo,1999-03-19,26.09
Andrew Morris,2001-09-01,23.63
Oddanier Mosqueda,1999-05-06,25.96
Ismael Munguia,1998-10-19,26.5
Roddery Munoz,2000-04-14,25.02
Luke Murphy,1999-11-05,25.46
Sean Murphy,1994-10-04,30.54
Austin Murr,1999-01-26,26.23
Jayden Murray,1997-04-11,28.02
Tanner Murray,1999-09-03,25.63
Parker Mushinski,1995-11-22,29.41
Tobias Myers,1998-08-05,26.71
Tommy Nance,1991-03-19,34.09
Omar Narvaez,1992-02-10,33.19
Nick Nastrini,2000-02-18,25.17
Brian Navarreto,1994-12-29,30.31
Andrew Navigato,1998-05-28,26.9
Jack Neely,2000-06-05,24.87
Zach Neto,2001-01-31,24.22
Kyle Nicolas,1999-02-22,26.16
Tomas Nido,1994-04-12,31.02
Doug Nikhazy,1999-08-11,25.69
Vinny Nittoli,1990-11-11,34.44
Ryan Noda,1996-03-30,29.06
Austin Nola,1989-12-28,35.31
Connor Noland,1999-07-20,25.75
Connor Norby,2000-06-08,24.87
Cruz Noriega,1997-10-01,27.55
Jacob Nottingham,1995-04-03,30.05
Dedniel Nunez,1996-06-05,28.87
Dom Nunez,1995-01-17,30.26
Malcom Nunez,2001-03-09,24.11
Nasim Nunez,2000-08-18,24.67
Rainer Nunez,2000-12-04,24.38
