PlayerName,birthDate,Age
Juan Brito,2001-09-24,24.53
Raul Brito,1997-05-23,28.87
Bryan Broecker,2002-01-26,24.19
Seth Brown,1992-07-13,33.73
Vidal Brujan,1998-02-09,28.15
Zach Brzykcy,1999-07-12,26.73
Nick Burdi,1993-01-19,33.21
Juan Burgos,1999-12-22,26.29
Tanner Burns,1998-12-28,27.27
Beau Burrows,1996-09-18,29.54
Max Burt,1996-08-28,29.6
Homer Bush Jr.,2001-10-13,24.48
Genesis Cabrera,1996-10-10,29.48
Jean Cabrera,2001-10-20,24.46
Oswaldo Cabrera,1999-03-01,27.1
Christian Cairo,2001-06-11,24.82
Tyler Callihan,2000-06-22,25.79
Jair Camargo,1999-07-01,26.76
Mario Camilletti,1999-04-19,26.96
Isaiah Campbell,1997-08-15,28.64
Kristian Campbell,2002-06-28,23.77
Griffin Canning,1996-05-11,29.9
Jonathan Cannon,2000-07-19,25.71
Hayden Cantrelle,1998-11-25,27.36
Conner Capel,1997-05-19,28.88
Vinny Capra,1996-07-07,29.74
Noah Cardenas,1999-09-10,26.57
Jack Carey,1999-09-20,26.54
Sam Carlson,1998-12-03,27.34
Carlos Carrasco,1987-03-21,39.04
Cole Carrigg,2002-05-08,23.91
Alex Carrillo,1997-06-06,28.83
Gerardo Carrillo,1998-09-13,27.56
Blas Castano,1998-09-08,27.57
Marcos Castanon,1999-03-23,27.04
Allan Castro,2003-05-24,22.87
Kervin Castro,1999-02-07,27.16
Cameron Cauley,2003-02-06,23.16
Brendan Cellucci,1998-06-30,27.76
Eric Cerantola,2000-05-02,25.92
Andrew Chafin,1990-06-17,35.8
Chandler Champlain,1999-07-23,26.7
Andres Chaparro,1999-05-04,26.92
Parker Chavers,1998-07-25,27.7
Michael Chavis,1995-08-11,30.65
Tsung-Che Cheng,2001-07-26,24.69
Will Childers,2000-11-14,25.39
Angel Chivilli,2002-07-28,23.69
Marc Church,2001-03-30,25.02
Miguel Cienfuegos,1997-02-10,29.15
Nick Cimillo,2000-02-23,26.11
Chris Clark,2001-08-14,24.64
Max Clark,2004-12-21,21.29
Jonatan Clase,2002-05-23,23.87
Mike Clevinger,1990-12-21,35.29
Ryan Clifford,2003-07-20,22.71
Jackson Cluff,1996-12-03,29.34
Adisyn Coffey,1999-01-22,27.2
Harrison Cohen,1999-05-28,26.86
Zach Cole,2000-08-04,25.67
Carson Coleman,1998-04-07,27.99
Gavin Collyer,2001-05-12,24.9
Carlos Colmenarez,2003-11-15,22.39
Charlie Condon,2003-04-14,22.98
Bryce Conley,1994-08-22,31.62
Alex Cook,2001-03-29,25.02
Billy Cook,1999-01-07,27.24
Joe Corbett,1996-10-12,29.48
Jose Cordova,2000-01-11,26.23
Riley Cornelio,2000-06-06,25.83
Tom Cosgrove,1996-06-14,29.81
Ben Cowles,2000-02-15,26.14
J.P. Crawford,1995-01-11,31.23
Dylan Crews,2002-02-26,24.1
Blaine Crim,1997-06-17,28.8
Jimmy Crooks,2001-07-19,24.71
Gavin Cross,2001-02-13,25.14
Coleman Crow,2000-12-30,25.26
Omar Cruz,1999-01-26,27.19
Steven Cruz,1999-06-15,26.81
Trei Cruz,1998-07-05,27.75
Yovanny Cruz,1999-08-23,26.62
Jose Cuas,1994-06-28,31.77
Jonny Cuevas,2000-11-20,25.37
Kaelen Culpepper,2002-12-29,23.27
John Curtiss,1993-04-05,33.0
Luis Curvelo,2000-10-21,25.45
Ryan Cusick,1999-11-12,26.4
Chad Dallas,2000-06-26,25.77
Davis Daniel,1997-06-11,28.82
Hagen Danner,1998-09-30,27.51
Michael Darrell-Hicks,1997-11-13,28.39
Tucker Davidson,1996-03-25,30.03
Logan Davidson,1997-12-26,28.27
Brennen Davis,1999-11-02,26.42
Colin Davis,1999-02-08,27.15
Noah Davis,1997-04-22,28.95
Tyler Davis,1998-10-03,27.5
Duncan Davitt,1999-09-23,26.53
Justin Dean,1996-12-06,29.33
Paul DeJong,1993-08-02,32.67
Bryan De La Cruz,1996-12-16,29.3
Jason Delay,1995-03-07,31.08
Adrian Del Castillo,1999-09-27,26.52
Raynel Delgado,2000-04-04,26.0
Deyvison De Los Santos,2003-06-21,22.79
Enyel De Los Santos,1995-12-25,30.28
Yerry De los Santos,1997-12-12,28.31
Trenton Denholm,1999-11-29,26.35
Alexis Diaz,1996-09-28,29.52
Elias Diaz,1990-11-17,35.38
Jhonathan Diaz,1996-09-13,29.56
Yilber Diaz,2000-08-19,25.63
Will Dion,2000-04-17,25.97
Hunter Dobbins,1999-08-30,26.6
Randy Dobnak,1995-01-17,31.21
Dylan Dodd,1998-06-06,27.83
Nick Dombkowski,1998-08-09,27.66
Jasson Dominguez,2003-02-07,23.16
Wilber Dotel,2002-09-25,23.53
Kohl Drake,2000-07-17,25.72
Jay Driver,2002-02-25,24.11
Shane Drohan,1999-01-07,27.24
Brandon Drury,1992-08-21,33.62
Daniel Duarte,1996-12-04,29.33
Shawn Dubin,1995-09-06,30.58
Clay Dungan,1996-06-02,29.84
Blake Dunn,1998-09-05,27.58
Oliver Dunn,1997-09-02,28.59
Dane Dunning,1994-12-20,31.29
Carlos Duran,2001-07-30,24.68
Edinson Duran,2002-07-22,23.7
Rodolfo Duran,1998-02-19,28.12
Nate Eaton,1996-12-22,29.28
Jake Eder,1998-10-09,27.49
Carl Edwards Jr.,1991-09-03,34.59
Zach Ehrhard,2003-01-21,23.2
Brandon Eisert,1998-01-19,28.21
Josh Ekness,2002-02-07,24.16
Bryce Eldridge,2004-10-20,21.46
Magnus Ellerts,2001-03-16,25.05
Duke Ellis,1998-01-16,28.22
Colt Emerson,2005-07-20,20.71
Christian Encarnacion-Strand,1999-12-01,26.34
Jose Espada,1997-02-22,29.11
Daniel Espino,2001-01-05,25.25
Joey Estes,2001-10-08,24.49
Lazaro Estrada,1999-04-24,26.95
Matthew Etzel,2002-04-30,23.93
Jud Fabian,2000-09-27,25.52
Stuart Fairchild,1996-03-17,30.05
Mitch Farris,2001-02-14,25.14
Kyler Fedko,1999-09-21,26.54
Cade Fergus,2000-08-22,25.62
Tyler Ferguson,1993-10-05,32.5
Jose Fermin,2001-11-28,24.35
Jose Fernandez,2003-09-22,22.54
Julian Fernandez,1995-12-05,30.33
Ryan Fernandez,1998-06-11,27.82
Yanquiel Fernandez,2003-01-01,23.26
Dylan File,1996-06-04,29.83
Evan Fitterer,2000-06-26,25.77
Richard Fitts,1999-12-17,26.3
Ryan Fitzgerald,1994-06-17,31.8
Tyler Fitzgerald,1997-09-15,28.55
Brian Fitzpatrick,2000-06-01,25.84
Josh Fleming,1996-05-18,29.88
Dominic Fletcher,1997-09-02,28.59
Jose Fleury,2002-03-08,24.08
Rafael Flores Jr.,2000-11-07,25.41
Harry Ford,2003-02-21,23.12
Justin Foscue,1999-03-02,27.09
Cameron Foster,1999-03-17,27.05
J.P. France,1995-04-04,31.0
Christian Franklin,1999-11-30,26.35
Zach Franklin,1998-10-27,27.44
Dayan Frias,2002-06-25,23.78
Didier Fuentes,2005-06-17,20.8
Braxton Fulford,1998-12-09,27.32
Carson Fulmer,1993-12-13,32.31
Michael Fulmer,1993-03-15,33.06
Dax Fulton,2001-10-16,24.47
Nate Furman,2001-07-23,24.7
Hunter Gaddis,1998-04-09,27.99
Ben Gamel,1992-05-17,33.88
Aramis Garcia,1993-01-12,33.23
Brandyn Garcia,2000-05-27,25.86
Jhostynxon Garcia,2002-12-11,23.32
Julian Garcia,1995-05-13,30.9
Braxton Garrett,1997-08-05,28.67
Mickey Gasper,1995-10-11,30.48
Robert Gasser,1999-05-31,26.85
Luis Gastelum,2001-09-27,24.52
Austin Gauthier,1999-05-07,26.91
Thomas Gavello,2001-06-06,24.83
Jordan Geber,1999-07-31,26.68
Zack Gelof,1999-10-19,26.46
Joey Gerber,1997-05-03,28.92
Nestor German,2002-02-26,24.1
Paul Gervase,2000-05-23,25.87
Cade Gibson,1998-02-18,28.13
Trey Gibson,2002-05-18,23.88
Spencer Giesting,2001-07-02,24.76
Luis Gil,1998-06-03,27.84
Drew Gilbert,2000-09-27,25.52
Tyler Gilbert,1993-12-22,32.28
Logan Gillaspie,1997-04-17,28.97
Connor Gillispie,1997-11-10,28.4
Phillip Glasser,1999-12-03,26.34
Woo-Suk Go,1998-08-06,27.66
Austin Gomber,1993-11-23,32.36
Ofreidy Gomez,1995-07-06,30.75
Yorman Gomez,2002-11-10,23.4
Marco Gonzales,1992-02-16,34.13
Domingo Gonzalez,1999-09-27,26.52
Gabriel Gonzalez,2004-01-04,22.25
Jacob Gonzalez,2002-05-30,23.85
Wikelman Gonzalez,2002-03-25,24.03
Colton Gordon,1998-12-20,27.29
Tanner Gordon,1997-10-26,28.44
Trevor Gott,1992-08-26,33.61
Gordon Graceffo,2000-03-17,26.05
Peyton Gray,1995-06-02,30.84
Mason Green,1999-02-05,27.16
Konnor Griffin,2006-04-24,19.95
Vaughn Grissom,2001-01-05,25.25
LuJames Groover,2002-04-16,23.97
Sean Guenther,1995-12-29,30.27
Javy Guerra,1995-09-25,30.53
Luis Guerrero,2000-08-05,25.66
Tayron Guerrero,1991-01-09,35.24
Ryan Gusto,1999-03-11,27.07
Denzer Guzman,2004-02-08,22.15
Eric Haase,1992-12-18,33.3
Jesse Hahn,1989-07-30,36.68
Skylar Hales,2001-10-24,24.45
Petey Halpin,2002-05-26,23.86
Seth Halvorsen,2000-02-18,26.13
Dom Hamel,1999-03-02,27.09
Ian Hamilton,1995-06-16,30.8
Dan Hammer,1997-09-10,28.57
Garrett Hampson,1994-10-10,31.49
Maverick Handley,1998-03-10,28.07
Brenan Hanifee,1998-05-29,27.85
Bradley Hanner,1999-02-10,27.15
Thomas Harrington,2001-07-12,24.73
Brett Harris,1998-06-24,27.78
Dustin Harris,1999-07-08,26.74
Hayden Harris,1999-03-02,27.09
Trent Harris,1999-01-22,27.2
Devereaux Harrison,2000-11-08,25.4
Grant Hartwig,1997-12-18,28.3
Robert Hassell III,2001-08-15,24.64
Thomas Hatch,1994-09-29,31.52
Trevor Hauver,1998-11-20,27.37
Garrett Hawkins,2000-02-10,26.15
Michael Helman,1996-05-23,29.87
Tink Hence,2002-08-06,23.66
Logan Henderson,2002-03-02,24.09
Wyatt Hendrie,1999-02-08,27.15
Payton Henry,1997-06-24,28.78
Christian Herberholz,2000-10-05,25.5
Elieser Hernandez,1995-05-03,30.92
Jonathan Hernandez,1996-07-06,29.75
Nick Hernandez,1994-12-30,31.26
Yonny Hernandez,1998-05-04,27.92
Jose Herrera,1997-02-24,29.11
Welinton Herrera,2004-04-03,22.0
Codi Heuer,1996-07-03,29.75
Nathan Hickey,1999-11-23,26.37
Brewer Hicklen,1996-02-09,30.15
P.J. Higgins,1993-05-10,32.9
Cam Hill,1994-05-24,31.87
Rece Hinds,2000-09-05,25.58
Nolan Hoffman,1997-08-09,28.65
Colin Holderman,1995-10-08,30.49
Jackson Holliday,2003-12-04,22.34
Gavin Hollowell,1997-11-04,28.42
Jake Holton,1998-03-02,28.09
Blake Holub,1998-10-23,27.45
Brody Hopkins,2002-01-18,24.21
Alex Hoppe,1998-12-17,27.3
Kody Huff,2000-12-11,25.31
Sam Huff,1998-01-14,28.22
Gabriel Hughes,2001-08-22,24.62
K.C. Hunt,2000-07-14,25.72
Jack Hurley,2002-03-13,24.06
Kyle Hurt,1998-05-30,27.85
Cooper Ingle,2002-02-23,24.11
Cole Irvin,1994-01-31,32.18
Matt Jachec,2001-07-25,24.7
Alex Jackson,1995-12-25,30.28
Alek Jacob,1998-06-16,27.8
Joe Jacques,1995-03-11,31.07
Drey Jameson,1997-08-17,28.63
Bryce Jarvis,1997-12-26,28.27
Jim Jarvis,2000-11-06,25.41
Mike Jarvis,1998-05-12,27.9
Jack Jasiak,2001-03-06,25.08
Walker Jenkins,2005-02-19,21.12
Ryan Jensen,1997-11-23,28.36
Eloy Jimenez,1996-11-27,29.35
Connor Joe,1992-08-16,33.63
Brandon Johnson,1999-06-12,26.81
Cooper Johnson,1998-04-25,27.95
Daniel Johnson,1995-07-11,30.74
Marques Johnson,2000-07-04,25.75
Seth Johnson,1998-09-19,27.54
Termarr Johnson,2004-06-11,21.82
Ty Johnson,2001-09-25,24.53
Greg Jones,1998-03-07,28.08
Nick Jones,1999-01-22,27.2
Nolan Jones,1998-05-07,27.91
Spencer Jones,2001-05-14,24.89
Blaze Jordan,2002-12-19,23.29
Hayden Juenger,2000-08-09,25.65
Corey Julks,1996-02-27,30.1
Gage Jump,2003-04-12,22.98
Jace Jung,2000-10-04,25.5
Connor Kaiser,1996-11-20,29.37
James Karinchak,1995-09-22,30.54
Josh Kasevich,2001-01-17,25.21
Niko Kavadas,1998-10-27,27.44
Dom Keegan,2000-08-01,25.68
DaShawn Keirsey Jr.,1997-05-13,28.9
Jarred Kelenic,1999-07-16,26.72
Kyle Keller,1993-04-28,32.94
Antoine Kelly,1999-12-05,26.33
Antwone Kelly,2003-09-01,22.59
Merrill Kelly,1988-10-14,37.47
Zack Kelly,1995-03-03,31.09
William Kempner,2001-06-18,24.8
Buddy Kennedy,1998-10-05,27.5
Nic Kent,2000-04-10,25.98
Zak Kent,1998-02-24,28.11
Orion Kerkering,2001-04-04,25.0
Brett Kerry,1999-04-12,26.98
Carter Kieboom,1997-09-03,28.59
Hyeseong Kim,1999-01-27,27.19
Andrew Kittredge,1990-03-17,36.05
George Klassen,2002-01-26,24.19
John Klein,2002-04-22,23.95
Gabe Klobosits,1995-05-16,30.89
Adam Kloffenstein,2000-08-25,25.61
Andrew Knizner,1995-02-03,31.17
Michael Knorr,2000-05-12,25.9
Antonio Knowles,2000-01-15,26.22
Matt Koperniak,1998-02-08,28.15
Ronan Kopp,2002-07-28,23.69
Jackson Kowar,1996-10-04,29.5
Ryan Kreidler,1997-11-12,28.39
Dean Kremer,1996-01-07,30.24
Brooks Kriske,1994-02-03,32.17
Matt Krook,1994-10-21,31.46
Ben Kudrna,2003-01-30,23.18
Tate Kuehner,2001-02-07,25.16
Joel Kuhnel,1995-02-19,31.12
Trevor Kuncl,1999-02-28,27.1
Victor Labrada,2000-01-16,26.22
Carlos Lagrange,2003-05-25,22.86
Peter Lambert,1997-04-18,28.96
Ryan Lambert,2002-09-02,23.59
Rafael Lantigua,1998-04-28,27.94
Andry Lara,2003-01-06,23.24
Luis Lara,2004-11-17,21.38
Adam Laskey,1998-03-09,28.07
Joe La Sorsa,1998-04-29,27.93
Bryan Lavastida,1998-11-27,27.35
Casey Lawrence,1987-10-28,38.44
Hudson Leach,2002-06-16,23.8
Colton Ledbetter,2001-11-15,24.39
Chase Lee,1998-08-13,27.64
Korey Lee,1998-07-25,27.7
Jack Leftwich,1998-09-26,27.52
Brandon Leibrandt,1992-12-13,33.31
Pedro Leon,1998-05-28,27.85
Sandy Leon,1989-03-13,37.06
Eddys Leonard,2000-11-10,25.4
Yu-Min Lin,2003-07-12,22.73
Trey Lipscomb,2000-06-14,25.81
Brendon Little,1996-08-11,29.65
Jack Little,1998-01-10,28.23
Luke Little,2000-08-30,25.6
Matt Lloyd,1996-03-17,30.05
Lael Lockhart,1997-12-31,28.26
Jonathon Long,2002-01-20,24.21
Seth Lonsway,1998-10-07,27.49
Alejo Lopez,1996-05-05,29.92
Nicky Lopez,1995-03-13,31.06
Matthew Lugo,2001-05-09,24.91
Gavin Lux,1997-11-23,28.36
Tommy Mace,1998-11-11,27.4
Vimael Machin,1993-09-25,32.53
Willie MacIver,1996-10-28,29.43
Joe Mack,2002-12-27,23.27
Adam Macko,2000-12-30,25.26
Christian MacLeod,2000-04-12,25.98
Ty Madden,2000-02-21,26.12
Nick Madrigal,1997-03-05,29.08
Bligh Madris,1996-02-29,30.1
Andrew Magno,1998-04-30,27.93
Anthony Maldonado,1998-02-06,28.16
Ben Malgeri,2000-01-12,26.23
Justyn-Henry Malloy,2000-02-19,26.12
Rorik Maltrud,2000-03-21,26.04
Trey Mancini,1992-03-18,34.05
Joe Mantiply,1991-03-01,35.1
Cade Marlowe,1997-06-24,28.78
Elih Marrero,1997-06-21,28.79
Yunior Marte,1995-02-02,31.17
Corbin Martin,1995-12-28,30.27
Richie Martin Jr.,1994-12-22,31.29
Riley Martin,1998-03-19,28.05
Trevor Martin,2000-12-15,25.3
Ernesto Martinez Jr.,1999-06-20,26.79
Izaak Martinez,2001-09-12,24.56
Omar Martinez,2001-07-05,24.75
Seth Martinez,1994-08-29,31.6
Nathan Martorella,2001-02-18,25.13
Michael Massey,1998-03-22,28.04
Quinn Mathews,2000-10-04,25.5
Sean Matson,2002-06-02,23.84
Yuki Matsui,1995-10-30,30.43
Zebby Matthews,2000-05-22,25.87
Tyler Mattison,1999-09-05,26.58
Ronny Mauricio,2001-04-04,25.0
Brycen Mautz,2001-07-17,24.72
Zach Maxwell,2001-01-26,25.19
Gunner Mayer,2000-07-27,25.69
Charles McAdoo,2002-03-06,24.08
Zach McCambley,1999-05-04,26.92
Ryan McCarty,1999-04-22,26.95
Darren McCaughan,1996-03-18,30.05
Chas McCormick,1995-04-19,30.96
Mason McCoy,1995-03-31,31.01
Grant McCray,2000-12-07,25.33
Garrett McDaniels,1999-12-15,26.31
Chayce McDermott,1998-08-22,27.62
Trevor McDonald,2001-02-26,25.1
Tanner McDougal,2003-04-09,22.99
Griff McGarry,1999-06-08,26.83
Easton McGee,1997-12-26,28.27
Paul McIntosh,1997-11-20,28.37
Triston McKenzie,1997-08-02,28.67
Wade Meckler,2000-04-21,25.95
Victor Mederos,2001-06-08,24.82
Justin Meis,1999-11-23,26.37
MJ Melendez,1998-11-29,27.35
Jacob Melton,2000-09-07,25.57
Carlos Mendoza,1999-12-14,26.31
Ramon Mendoza,2000-08-31,25.59
Joey Meneses,1992-05-06,33.91
Oscar Mercado,1994-12-16,31.3
Matt Mervis,1998-04-16,27.97
Victor Mesa Jr.,2001-09-08,24.57
Zach Messinger,1999-10-04,26.5
Luis Mey,2001-06-24,24.78
Keynan Middleton,1993-09-12,32.56
Jake Miller,2000-07-14,25.72
Noah Miller,2002-11-12,23.39
Owen Miller,1996-11-15,29.39
Ryan Miller,1996-03-28,30.02
Tyson Miller,1995-07-29,30.69
Wyatt Mills,1995-01-25,31.19
Jose Miranda,1998-06-29,27.77
Anthony Misiewicz,1994-11-01,31.43
Kameron Misner,1998-01-09,28.24
Anthony Molina,2002-01-12,24.23
Nate Mondou,1995-03-24,31.03
Keider Montero,2000-07-06,25.75
Bryce Montes de Oca,1996-04-23,29.95
Patrick Monteverde,1997-09-24,28.53
Brody Moore,2000-07-20,25.71
Christian Moore,2002-10-21,23.46
Robert Moore,2002-03-31,24.01
Nick Morabito,2003-05-07,22.91
Yohandy Morales,2001-10-09,24.49
Gerson Moreno,1995-09-10,30.57
Eli Morgan,1996-05-13,29.89
Tre' Morgan,2002-07-16,23.72
Cody Morissette,2000-01-16,26.22
Andrew Morris,2001-09-01,24.59
Kade Morris,2002-06-21,23.79
Gabe Mosser,1996-06-08,29.82
Rolddy Munoz,2000-04-14,25.97
Patrick Murphy,1995-06-10,30.82
BJ Murray,2000-01-05,26.25
Ethan Murray,2000-05-13,25.89
Jayden Murray,1997-04-11,28.98
Tanner Murray,1999-09-03,26.59
Parker Mushinski,1995-11-22,30.37
Samy Natera Jr.,1999-11-05,26.41
Packy Naughton,1996-04-16,29.97
Andrick Nava,2001-10-06,24.5
Brian Navarreto,1994-12-29,31.27
Kevin Newman,1993-08-04,32.67
Kyle Nicolas,1999-02-22,27.12
Tomas Nido,1994-04-12,31.98
Ryan Noda,1996-03-30,30.02
Jhonkensy Noel,2001-07-15,24.72
Connor Noland,1999-07-20,26.71
Dom Nunez,1995-01-17,31.21
Eduarniel Nunez,1999-06-07,26.83
Ethan O'Donnell,2002-03-27,24.02
Matt O'Neill,1997-08-20,28.62
Wyatt Olds,1999-08-05,26.67
Edward Olivares,1996-03-06,30.08
Helcris Olivarez,2000-08-08,25.66
Johnny Olmstead,2000-07-10,25.74
Jonathan Ornelas,2000-05-26,25.86
Kaleb Ort,1992-02-05,34.16
Abimelec Ortiz,2002-02-22,24.11
Robinson Ortiz,2000-01-04,26.25
Alejandro Osuna,2002-10-10,23.49
Michel Otanez,1997-07-03,28.76
Cristian Pache,1998-11-19,27.38
Spencer Packard,1997-10-12,28.48
Carson Palmquist,2000-10-17,25.46
Shane Panzini,2001-10-30,24.43
Enoli Paredes,1995-09-28,30.52
Mitchell Parker,1999-09-27,26.52
Liover Peguero,2000-12-31,25.26
Carlos Pena,1998-09-07,27.58
Zach Penrod,1997-06-16,28.8
Ben Peoples,2001-05-01,24.93
Luis Perales,2003-04-14,22.98
Luis Peralta,2001-01-06,25.24
Sammy Peralta,1998-05-10,27.9
Angel Perdomo,1994-05-07,31.91
Jhonny Pereda,1996-04-18,29.96
Andrew Perez,1997-07-25,28.7
Carlos Perez,1990-10-27,35.44
Junior Perez,2001-07-04,24.75
Reylin Perez,2004-10-05,21.5
Steven Perez,2001-04-21,24.96
Wenceel Perez,1999-10-30,26.43
Jack Perkins,1999-12-26,26.28
Chase Petty,2003-04-04,23.0
Alex Pham,1999-10-09,26.49
Dylan Phillips,1999-06-16,26.8
Anderson Pilar,1998-03-02,28.09
Konnor Pilkington,1997-09-12,28.56
Yohendrick Pinango,2002-05-07,23.91
Andrew Pinckney,2000-12-07,25.33
Andrew Pintar,2001-03-23,25.03
Jonathan Pintaro,1997-11-07,28.41
Rene Pinto,1996-11-02,29.42
Michael Plassmeyer,1996-11-05,29.41
Chase Plymell,1998-05-29,27.85
Austin Pope,1998-10-26,27.44
Logan Porter,1995-07-12,30.73
Cade Povich,2000-04-12,25.98
Cooper Pratt,2004-08-18,21.63
Collin Price,1999-11-15,26.39
Connor Prielipp,2001-01-10,25.23
Cesar Prieto,1999-05-10,26.9
Cal Quantrill,1995-02-10,31.15
Jeferson Quero,2002-10-08,23.49
Nelson Rada,2005-08-24,20.61
Tanner Rainey,1992-12-25,33.28
Max Rajcic,2001-08-03,24.67
Jack Ralston,1997-08-13,28.64
Pedro Ramirez,2004-04-01,22.01
Bryan Ramos,2002-03-12,24.07
Wilkin Ramos,2000-10-31,25.43
Ryan Ramsey,2001-01-18,25.21
Alan Rangel,1997-08-21,28.62
Nick Raquet,1995-12-12,30.31
Taylor Rashi,1996-01-15,30.22
John Rave,1997-12-30,28.26
Dylan Ray,2001-05-09,24.91
Marco Raya,2002-08-07,23.66
Jakson Reetz,1996-01-03,30.25
Evan Reifert,1999-05-14,26.89
Felix Reyes,2001-03-26,25.03
Pablo Reyes,1993-09-05,32.58
Orlando Ribalta,1998-03-05,28.08
Trevor Richards,1993-05-15,32.89
Lyon Richardson,2000-01-18,26.21
Caleb Ricketts,2000-05-10,25.9
Yacksel Rios,1993-06-27,32.77
JR Ritchie,2003-06-26,22.78
Ryan Ritter,2000-11-10,25.4
Josh Rivera,2000-10-10,25.48
Sebastian Rivero,1998-11-16,27.38
Christian Roa,1999-04-02,27.01
Ethan Roberts,1997-07-04,28.75
Will Robertson,1997-12-26,28.27
Kristian Robinson,2000-12-11,25.31
Joe Rock,2000-07-29,25.68
Brock Rodden,2000-05-25,25.86
Alan Roden,1999-12-22,26.29
Brendan Rodgers,1996-08-09,29.65
Carlos Rodriguez,2000-12-07,25.33
Carlos Rodriguez,2001-11-27,24.35
Elmer Rodriguez,2003-08-18,22.63
Emmanuel Rodriguez,2003-02-28,23.1
Endy Rodriguez,2000-05-26,25.86
Hector Rodriguez,2004-03-11,22.07
Jesus Rodriguez,2002-04-23,23.95
Johnathan Rodriguez,1999-11-04,26.42
